model,accuracy,precision,recall,f1
RandomForest,0.97678916827853,0.9819819819819819,0.8320610687022901,0.9008264462809917
LinearSVC,0.97678916827853,0.9908256880733946,0.8244274809160306,0.9
MultinomialNB,0.9642166344294004,1.0,0.7175572519083969,0.8355555555555556
LogisticRegression,0.9448742746615088,0.9868421052631579,0.5725190839694656,0.7246376811594203
